"Gene","Insertion.Index","log.likelihood.ratio","essential","non.essential","unclear"
"yrdD",0.35174954,28.1812077029235,FALSE,TRUE,FALSE
"smg",0.375527426,30.0231827721262,FALSE,TRUE,FALSE
"smf",0.326222222,26.1698705593654,FALSE,TRUE,FALSE
"def",0.029411765,-7.33833251859756,TRUE,FALSE,FALSE
"fmt",0.021097046,-10.0290148970748,TRUE,FALSE,FALSE
"rsmB",0.271317829,21.6967214731525,FALSE,TRUE,FALSE
"trkA",0.265795207,21.2333694787734,FALSE,TRUE,FALSE
"mscL",0.469586375,37.0764858284699,FALSE,TRUE,FALSE
"arfA",0.456621005,36.1228400351796,FALSE,TRUE,FALSE
"zntR",0.281690141,22.5596427813007,FALSE,TRUE,FALSE
"yhdN",0.184281843,13.979418735011,FALSE,TRUE,FALSE
"rplQ",0.002604167,-24.9635849842644,TRUE,FALSE,FALSE
"rpoA",0.004040404,-21.9729824093084,TRUE,FALSE,FALSE
"rpsD",0,-172.161960178805,TRUE,FALSE,FALSE
"rpsK",0,-172.161960178805,TRUE,FALSE,FALSE
"rpsM",0,-172.161960178805,TRUE,FALSE,FALSE
"rpmJ",0.051282051,-2.36458038974883,FALSE,FALSE,TRUE
"secY",0.000750751,-33.3010199240537,TRUE,FALSE,FALSE
"rplO",0,-172.161960178805,TRUE,FALSE,FALSE
"rpmD",0,-172.161960178805,TRUE,FALSE,FALSE
"rpsE",0,-172.161960178805,TRUE,FALSE,FALSE
"rplR",0,-172.161960178805,TRUE,FALSE,FALSE
"rplF",0,-172.161960178805,TRUE,FALSE,FALSE
"rpsH",0.002544529,-25.1203691749267,TRUE,FALSE,FALSE
"rpsN",0,-172.161960178805,TRUE,FALSE,FALSE
"rplE",0.001851852,-27.2633725086646,TRUE,FALSE,FALSE
"rplX",0,-172.161960178805,TRUE,FALSE,FALSE
"rplN",0,-172.161960178805,TRUE,FALSE,FALSE
"rpsQ",0.003921569,-22.1774995461662,TRUE,FALSE,FALSE
"rpmC",0.005208333,-20.2241351484114,TRUE,FALSE,FALSE
"rplP",0.00729927,-17.8675804603451,TRUE,FALSE,FALSE
